date,erva,age,susceptible,infected detected,infected undetected,infected,exposed,recovered,First dose,Second dose,ward,icu,death,First dose cumulative,Second dose cumulative
2020-02-18,HYKS,0-9,221613.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-02-19,HYKS,0-9,221613.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-02-20,HYKS,0-9,221613.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-02-21,HYKS,0-9,221613.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-02-22,HYKS,0-9,221613.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-02-23,HYKS,0-9,221602.0,1.0,10.0,6.285714285714286,4.714285714285714,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-02-24,HYKS,0-9,221602.0,1.0,10.0,6.285714285714286,4.714285714285714,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-02-25,HYKS,0-9,221602.0,1.0,10.0,6.285714285714286,4.714285714285714,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-02-26,HYKS,0-9,221602.0,1.0,10.0,6.285714285714286,4.714285714285714,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-02-27,HYKS,0-9,221602.0,1.0,10.0,6.285714285714286,4.714285714285714,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-02-28,HYKS,0-9,221600.42857142858,1.1428571428571428,11.428571428571427,7.183673469387753,5.387755102040815,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-02-29,HYKS,0-9,221595.7142857143,1.5714285714285712,15.714285714285712,9.877551020408163,7.408163265306122,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-01,HYKS,0-9,221605.14285714284,0.714285714285714,7.14285714285714,4.489795918367345,3.367346938775509,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-02,HYKS,0-9,221603.57142857142,0.8571428571428568,8.571428571428568,5.387755102040813,4.04081632653061,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-03,HYKS,0-9,221603.57142857142,0.8571428571428568,8.571428571428568,5.387755102040813,4.04081632653061,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-04,HYKS,0-9,221601.63025210082,1.033613445378151,10.33613445378151,6.4969987995198055,4.872749099639854,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-05,HYKS,0-9,221599.68907563027,1.210084033613445,12.10084033613445,7.606242496998797,5.704681872749098,0,0.0,0.0,0.0,0.0,0.0,0,0
