origin,dest,trips_sum
0,0,17275.315217391304
0,3,75.25555555555556
0,4,6.857142857142857
0,6,7.0
0,7,6.0
0,16,7.2
0,18,5.0
0,25,18.984375
3,0,1996.7582417582419
3,3,292410.4175824176
3,4,3869.1758241758243
3,5,2186.78021978022
3,6,2125.78021978022
3,7,193.1978021978022
3,8,93.12222222222222
3,9,30.942528735632184
3,10,29.65909090909091
3,11,9.755102040816327
3,12,15.707317073170731
3,13,38.05555555555556
3,14,169.65555555555557
3,15,113.52222222222223
3,16,153.4065934065934
3,17,23.156626506024097
3,18,56.266666666666666
3,19,10.369565217391305
3,20,10.74468085106383
3,21,13.63768115942029
3,25,9034.263736263736
4,0,13.559322033898304
4,3,4861.43956043956
4,4,125077.46153846153
4,5,570.0769230769231
4,6,4079.3736263736264
4,7,87.85555555555555
4,8,44.833333333333336
4,9,20.654761904761905
4,10,16.74074074074074
4,11,9.615384615384615
4,12,14.726027397260275
4,13,32.69767441860465
4,14,142.15555555555557
4,15,809.8461538461538
4,16,492.27472527472526
4,17,50.422222222222224
4,18,94.93333333333334
4,19,11.955555555555556
4,20,14.904761904761905
4,21,17.4
4,25,1341.1758241758241
5,0,6.647058823529412
5,3,1840.2417582417581
5,4,258.72527472527474
5,5,83868.75824175825
5,6,3944.736263736264
5,7,1719.4505494505495
5,8,151.94444444444446
5,9,45.31460674157304
5,10,68.15555555555555
5,11,10.358490566037736
5,12,13.051948051948052
5,13,27.75294117647059
5,14,152.85555555555555
5,15,74.34444444444445
5,16,21.928571428571427
5,17,11.25
5,18,45.43023255813954
5,19,9.25
5,20,8.192307692307692
5,21,9.244444444444444
5,25,13047.78021978022
6,0,7.526315789473684
6,3,1716.6923076923076
6,4,3289.4505494505493
6,5,4250.615384615385
6,6,323666.4175824176
6,7,857.7252747252747
6,8,150.73333333333332
6,9,58.32222222222222
6,10,94.84615384615384
6,11,13.540983606557377
6,12,40.31818181818182
6,13,165.46666666666667
6,14,2959.835164835165
6,15,1695.2747252747254
6,16,212.76923076923077
6,17,79.76666666666667
6,18,282.43333333333334
6,19,18.227848101265824
6,20,24.08235294117647
6,21,44.168539325842694
6,25,6234.780219780219
7,0,6.6923076923076925
7,3,230.87912087912088
7,4,66.4659090909091
7,5,2006.9450549450548
7,6,1231.5824175824175
7,7,117793.05494505494
7,8,3746.8241758241757
7,9,394.85714285714283
7,10,873.8571428571429
7,11,54.17777777777778
7,12,70.64444444444445
7,13,174.46666666666667
7,14,888.2307692307693
7,15,51.31868131868132
7,16,19.6125
7,17,16.015384615384615
7,18,95.25274725274726
7,19,20.866666666666667
7,20,12.545454545454545
7,21,16.96
7,25,10787.252747252747
8,0,20.761904761904763
8,3,118.02197802197803
8,4,24.333333333333332
8,5,189.30769230769232
8,6,226.1978021978022
8,7,3098.989010989011
8,8,92559.8021978022
8,9,1827.8241758241759
8,10,573.3076923076923
8,11,34.71910112359551
8,12,62.10989010989011
8,13,108.54945054945055
8,14,129.42857142857142
8,15,14.278481012658228
8,16,11.191489361702128
8,17,9.344827586206897
8,18,30.16867469879518
8,19,14.472727272727273
8,20,8.972222222222221
8,21,11.869565217391305
8,25,5710.472527472528
9,0,10.5
9,3,36.17391304347826
9,4,10.696969696969697
9,5,56.93478260869565
9,6,86.1086956521739
9,7,362.82608695652175
9,8,2013.8369565217392
9,9,77169.69565217392
9,10,653.8586956521739
9,11,669.3260869565217
9,12,466.0
9,13,99.80434782608695
9,14,105.09782608695652
9,15,12.333333333333334
9,16,11.055555555555555
9,17,5.633333333333334
9,18,31.404761904761905
9,19,26.44736842105263
9,20,9.27027027027027
9,21,14.8
9,25,1608.9130434782608
10,3,27.058139534883722
10,4,9.42
10,5,48.544444444444444
10,6,118.61538461538461
10,7,771.5384615384615
10,8,551.934065934066
10,9,588.3076923076923
10,10,52214.96703296703
10,11,730.8241758241758
10,12,224.56043956043956
10,13,3690.1098901098903
10,14,1090.2087912087911
10,15,20.235294117647058
10,16,7.75
10,17,10.212121212121213
10,18,36.96629213483146
10,19,33.93827160493827
10,20,8.257142857142858
10,21,13.79245283018868
10,25,1068.967032967033
11,0,8.333333333333334
11,3,20.91304347826087
11,4,11.838709677419354
11,5,27.325
11,6,35.69767441860465
11,7,134.78021978021977
11,8,78.45054945054945
11,9,782.9560439560439
11,10,1063.3516483516485
11,11,22104.9010989011
11,12,685.4065934065934
11,13,526.5054945054945
11,14,87.72527472527473
11,15,13.53191489361702
11,16,9.916666666666666
11,17,10.38888888888889
11,18,25.263157894736842
11,19,19.87878787878788
11,20,9.055555555555555
11,21,13.378378378378379
11,25,296.7032967032967
